# Time_Step Physical_Time Residual Converged
     0 0.000000e+00 9.000000e+00 0
     1 1.000000e-05 2.559426e+01 0
     2 2.000000e-05 2.558124e+01 0
     3 3.000000e-05 2.560494e+01 0
     4 4.000000e-05 2.562607e+01 0
     5 5.000000e-05 2.556584e+01 0
     6 6.000000e-05 2.560342e+01 0
     7 7.000000e-05 2.564013e+01 0
     8 8.000000e-05 2.567694e+01 0
     9 9.000000e-05 2.571455e+01 0
    10 1.000000e-04 2.575347e+01 0
    11 1.100000e-04 2.579407e+01 0
    12 1.200000e-04 2.583633e+01 0
    13 1.300000e-04 2.588059e+01 0
    14 1.400000e-04 2.626272e+01 0
    15 1.500000e-04 2.575965e+01 0
    16 1.600000e-04 2.582049e+01 0
    17 1.700000e-04 2.588274e+01 0
    18 1.800000e-04 2.594648e+01 0
    19 1.900000e-04 2.601270e+01 0
    20 2.000000e-04 2.607784e+01 0
    21 2.100000e-04 2.647444e+01 0
    22 2.200000e-04 2.652833e+01 0
    23 2.300000e-04 2.658452e+01 0
    24 2.400000e-04 2.647259e+01 0
    25 2.500000e-04 2.654264e+01 0
    26 2.600000e-04 2.661753e+01 0
    27 2.700000e-04 2.669426e+01 0
    28 2.800000e-04 2.677374e+01 0
    29 2.900000e-04 2.685564e+01 0
    30 3.000000e-04 2.693971e+01 0
    31 3.100000e-04 2.702578e+01 0
    32 3.200000e-04 2.702778e+01 0
    33 3.300000e-04 2.710246e+01 0
    34 3.400000e-04 2.718070e+01 0
    35 3.500000e-04 2.726161e+01 0
    36 3.600000e-04 2.734954e+01 0
    37 3.700000e-04 2.743402e+01 0
    38 3.800000e-04 2.751932e+01 0
    39 3.900000e-04 2.760465e+01 0
    40 4.000000e-04 2.768951e+01 0
    41 4.100000e-04 2.818589e+01 0
    42 4.200000e-04 2.742403e+01 0
    43 4.300000e-04 2.750175e+01 0
    44 4.400000e-04 2.832529e+01 0
    45 4.500000e-04 2.851285e+01 0
    46 4.600000e-04 2.821052e+01 0
    47 4.700000e-04 2.832013e+01 0
    48 4.800000e-04 2.843012e+01 0
    49 4.900000e-04 2.854296e+01 0
    50 5.000000e-04 2.865393e+01 0
    51 5.100000e-04 2.876562e+01 0
    52 5.200000e-04 2.887814e+01 0
    53 5.300000e-04 2.912914e+01 0
    54 5.400000e-04 2.926273e+01 0
    55 5.500000e-04 2.939656e+01 0
    56 5.600000e-04 2.953080e+01 0
    57 5.700000e-04 2.966558e+01 0
    58 5.800000e-04 2.980099e+01 0
    59 5.900000e-04 2.993713e+01 0
    60 6.000000e-04 3.007208e+01 0
    61 6.100000e-04 3.020988e+01 0
    62 6.200000e-04 3.034855e+01 0
    63 6.300000e-04 3.048812e+01 0
    64 6.400000e-04 3.062884e+01 0
    65 6.500000e-04 3.090493e+01 0
    66 6.600000e-04 3.108261e+01 0
    67 6.700000e-04 3.126064e+01 0
    68 6.800000e-04 3.143974e+01 0
    69 6.900000e-04 3.135028e+01 0
    70 7.000000e-04 3.152809e+01 0
    71 7.100000e-04 3.170921e+01 0
    72 7.200000e-04 3.189316e+01 0
    73 7.300000e-04 3.207972e+01 0
    74 7.400000e-04 3.226879e+01 0
    75 7.500000e-04 3.304687e+01 0
    76 7.600000e-04 3.328195e+01 0
    77 7.700000e-04 3.303582e+01 0
    78 7.800000e-04 3.324503e+01 0
    79 7.900000e-04 3.345961e+01 0
    80 8.000000e-04 3.367498e+01 0
    81 8.100000e-04 3.389250e+01 0
    82 8.200000e-04 3.419658e+01 0
    83 8.300000e-04 3.453336e+01 0
    84 8.400000e-04 3.487477e+01 0
    85 8.500000e-04 3.522084e+01 0
    86 8.600000e-04 3.557168e+01 0
    87 8.700000e-04 3.592716e+01 0
    88 8.800000e-04 3.628739e+01 0
    89 8.900000e-04 3.665242e+01 0
    90 9.000000e-04 3.702228e+01 0
    91 9.100000e-04 3.739708e+01 0
    92 9.200000e-04 3.777670e+01 0
    93 9.300000e-04 3.846367e+01 0
    94 9.400000e-04 3.888153e+01 0
    95 9.500000e-04 3.930434e+01 0
    96 9.600000e-04 3.973237e+01 0
    97 9.700000e-04 4.016588e+01 0
    98 9.800000e-04 4.060492e+01 0
    99 9.900000e-04 4.098348e+01 0
   100 1.000000e-03 4.143794e+01 0
   101 1.010000e-03 4.189824e+01 0
   102 1.020000e-03 4.236446e+01 0
   103 1.030000e-03 4.283655e+01 0
   104 1.040000e-03 4.331471e+01 0
   105 1.050000e-03 4.379896e+01 0
   106 1.060000e-03 4.428937e+01 0
   107 1.070000e-03 4.478598e+01 0
   108 1.080000e-03 4.528888e+01 0
   109 1.090000e-03 4.579809e+01 0
   110 1.100000e-03 4.631372e+01 0
   111 1.110000e-03 4.683585e+01 0
