# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	1.50039522e-01	7.59343500e-02	7.41051716e-02	-3.65835681e-02	-1.01596640e-01	6.50130721e-02	-8.33048561e-02	9.14589202e-04	3.75098804e-03	1.18887193e-16	3.75098804e-03	-3.75098804e-03
2               	6.32820530e-01	3.19598689e-01	3.13221840e-01	-1.27536982e-01	-6.00386100e-02	-6.74983725e-02	3.72988124e-03	3.18842456e-03	1.58205132e-02	7.66946989e-16	1.58205132e-02	-1.58205132e-02
3               	7.80189651e-01	3.93754914e-01	3.86434736e-01	-1.46403560e-01	-3.70348494e-02	-1.09368711e-01	3.61669307e-02	3.66008900e-03	1.95047413e-02	9.84603306e-16	1.95047413e-02	-1.95047413e-02
4               	6.28326271e-01	3.17115911e-01	3.11210361e-01	-1.18111006e-01	2.70708125e-01	-3.88819131e-01	3.29763628e-01	2.95277515e-03	1.57081568e-02	9.43840460e-16	1.57081568e-02	-1.57081568e-02
5               	3.22718677e-01	1.59586822e-01	1.63131854e-01	7.09006447e-02	2.23870509e-01	-1.52969865e-01	1.88420187e-01	-1.77251612e-03	8.06796692e-03	6.52041413e-16	8.06796692e-03	-8.06796692e-03
6               	1.94853017e-02	4.43873482e-03	1.50465669e-02	2.12156641e-01	2.76148768e-01	-6.39921276e-02	1.70070448e-01	-5.30391602e-03	4.87132542e-04	2.71969985e-16	4.87132542e-04	-4.87132542e-04
7               	-1.92276629e-01	-1.02840641e-01	-8.94359875e-02	2.68093079e-01	5.81340497e-01	-3.13247419e-01	4.47293958e-01	-6.70232697e-03	-4.80691572e-03	-6.70065632e-17	-4.80691572e-03	4.80691572e-03
8               	-2.80199869e-01	-1.47481888e-01	-1.32717981e-01	2.95278139e-01	7.77673484e-01	-4.82395344e-01	6.30034414e-01	-7.38195349e-03	-7.00499671e-03	-2.63820705e-16	-7.00499671e-03	7.00499671e-03
9               	-2.56780581e-01	-1.35621855e-01	-1.21158726e-01	2.89262594e-01	8.21653316e-01	-5.32390723e-01	6.77022019e-01	-7.23156484e-03	-6.41951452e-03	-3.27333494e-16	-6.41951452e-03	6.41951452e-03
10              	-1.62493815e-01	-8.77661268e-02	-7.47276886e-02	2.60768764e-01	6.95902639e-01	-4.35133875e-01	5.65518257e-01	-6.51921911e-03	-4.06234538e-03	-3.21335533e-16	-4.06234538e-03	4.06234538e-03
11              	-3.97650268e-02	-2.48459621e-02	-1.49190647e-02	1.98537947e-01	5.98442940e-01	-3.99904992e-01	4.99173966e-01	-4.96344869e-03	-9.94125669e-04	-2.34551263e-16	-9.94125669e-04	9.94125669e-04
12              	6.70748868e-02	2.98421931e-02	3.72326937e-02	1.47810012e-01	5.16815106e-01	-3.69005093e-01	4.42910100e-01	-3.69525031e-03	1.67687217e-03	-9.35883514e-17	1.67687217e-03	-1.67687217e-03
13              	1.32413948e-01	6.32348391e-02	6.91791092e-02	1.18885401e-01	4.23221053e-01	-3.04335652e-01	3.63778353e-01	-2.97213502e-03	3.31034871e-03	2.57482257e-17	3.31034871e-03	-3.31034871e-03
