# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 3.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	-1.34506591e-01	-6.72466642e-02	-6.72599271e-02	7.83231681e-05	2.90353800e-04	-2.12030632e-04	2.51192216e-04	6.63144879e-06	1.10972003e-04	-5.24768843e-05	8.47335607e-05	-1.37210445e-04
2               	-1.26587800e+01	-6.32577169e+00	-6.33300830e+00	-1.84933047e-02	-8.42837859e-03	-1.00649261e-02	8.18273749e-04	3.61830926e-03	7.94381428e-03	1.43953587e-02	1.51414936e-02	-7.46134926e-04
3               	-1.26593191e+01	-6.32603115e+00	-6.33328791e+00	-3.16676973e-02	-1.39330180e-02	-1.77346793e-02	1.90083064e-03	3.62838133e-03	6.63387282e-03	5.30785393e-03	9.28779979e-03	-3.97994586e-03
4               	-9.92046937e+00	-4.95725399e+00	-4.96321538e+00	-3.39948351e-02	-1.56122445e-02	-1.83825907e-02	1.38517310e-03	2.98069455e-03	4.57768746e-03	-9.63641156e-04	4.09586688e-03	-5.05950804e-03
5               	-4.70990248e+00	-2.35214537e+00	-2.35775711e+00	-4.82180269e-02	-2.39926902e-02	-2.42253367e-02	1.16323218e-04	2.80587299e-03	3.54327692e-04	-9.88428175e-03	-4.58781318e-03	-5.29646857e-03
6               	2.03580309e+00	1.01554049e+00	1.02026261e+00	-2.67452492e-02	-1.60418973e-02	-1.07033520e-02	-2.66927264e-03	-2.36106093e-03	-1.99934307e-03	-3.97113147e-02	-2.18550004e-02	-1.78563143e-02
7               	6.18133014e+00	3.08172886e+00	3.09960128e+00	-2.15204901e-03	-7.20823438e-03	5.05618536e-03	-6.13220987e-03	-8.93621146e-03	-7.26437355e-04	-4.50422084e-02	-2.32475415e-02	-2.17946668e-02
8               	7.17158063e+00	3.57263345e+00	3.59894718e+00	1.66456058e-03	-8.65181901e-03	1.03163796e-02	-9.48409930e-03	-1.31568647e-02	-1.51198309e-03	-4.93840411e-02	-2.62040036e-02	-2.31800375e-02
9               	6.26284378e+00	3.11892433e+00	3.14391945e+00	4.18970062e-03	1.40699141e-04	4.04900148e-03	-1.95415117e-03	-1.24975601e-02	-2.10026275e-03	-4.79240596e-02	-2.60622925e-02	-2.18617670e-02
10              	4.40065226e+00	2.19137017e+00	2.20928209e+00	4.06508828e-02	1.31958088e-02	2.74550740e-02	-7.12963262e-03	-8.95596035e-03	-4.23319080e-03	-4.23016035e-02	-2.53839925e-02	-1.69176109e-02
11              	1.39518769e+00	6.92128842e-01	7.03058848e-01	6.50775230e-02	1.85366176e-02	4.65409054e-02	-1.40021439e-02	-5.46500331e-03	-1.20165947e-02	-6.20750682e-02	-4.30541288e-02	-1.90209394e-02
12              	-9.03789623e-01	-4.55743412e-01	-4.48046211e-01	9.33564178e-02	2.35884998e-02	6.97679180e-02	-2.30897091e-02	-3.84860036e-03	-1.63016830e-02	-6.49710388e-02	-4.87872024e-02	-1.61838364e-02
13              	-2.07405715e+00	-1.03786743e+00	-1.03618972e+00	1.25263939e-01	2.53803613e-02	9.98835781e-02	-3.72516084e-02	-8.38852762e-04	-1.46816197e-02	-6.44336580e-02	-4.68984487e-02	-1.75352093e-02
14              	-2.31778281e+00	-1.15947669e+00	-1.15830611e+00	1.80714350e-01	3.73711188e-02	1.43343232e-01	-5.29860564e-02	-5.85290310e-04	-1.01096204e-02	-5.86991475e-02	-3.94591941e-02	-1.92399534e-02
15              	-1.95827996e+00	-9.81811006e-01	-9.76468958e-01	2.31383505e-01	5.71618251e-02	1.74221680e-01	-5.85299275e-02	-2.67102415e-03	-4.61448693e-03	-5.92602961e-02	-3.42446350e-02	-2.50156611e-02
16              	-1.15064016e+00	-5.81904083e-01	-5.68736073e-01	3.05813839e-01	9.51738451e-02	2.10639994e-01	-5.77330746e-02	-6.58400534e-03	2.83105302e-05	-5.24210144e-02	-2.61821967e-02	-2.62388177e-02
17              	-3.86333803e-01	-2.03258559e-01	-1.83075244e-01	3.39736841e-01	1.21550640e-01	2.18186201e-01	-4.83177806e-02	-1.00916578e-02	1.65829338e-03	-4.03095090e-02	-1.84964611e-02	-2.18130479e-02
18              	1.60109191e-01	6.86257473e-02	9.14834440e-02	3.06182073e-01	1.21317439e-01	1.84864634e-01	-3.17735974e-02	-1.14288483e-02	1.61284050e-03	-2.91461546e-02	-1.29602368e-02	-1.61859178e-02
19              	4.46132068e-01	2.12613795e-01	2.33518272e-01	1.90514840e-01	8.51668273e-02	1.05348012e-01	-1.00905926e-02	-1.04522385e-02	1.11375682e-03	-2.28198920e-02	-1.02961892e-02	-1.25237028e-02
20              	5.63622227e-01	2.74024947e-01	2.89597280e-01	3.11025535e-02	2.64479222e-02	4.65463129e-03	1.08966455e-02	-7.78616647e-03	6.36862601e-04	-1.88085589e-02	-8.76741683e-03	-1.00411420e-02
21              	6.07207508e-01	2.98963438e-01	3.08244071e-01	-1.40346224e-01	-3.59534188e-02	-1.04392805e-01	3.42196932e-02	-4.64031671e-03	4.78971413e-04	-1.63676292e-02	-7.70484317e-03	-8.66278599e-03
22              	5.89250446e-01	2.93220451e-01	2.96029995e-01	-2.52893282e-01	-7.48123415e-02	-1.78080941e-01	5.16342996e-02	-1.40477166e-03	2.82153518e-04	-1.59024285e-02	-7.66906075e-03	-8.23336779e-03
23              	5.20476111e-01	2.61472990e-01	2.59003122e-01	-2.57223479e-01	-6.75299318e-02	-1.89693548e-01	6.10818079e-02	1.23493405e-03	-1.89661421e-05	-1.63015959e-02	-8.16976410e-03	-8.13183182e-03
24              	4.26889325e-01	2.17267904e-01	2.09621420e-01	-2.13664778e-01	-4.43456062e-02	-1.69319172e-01	6.24867830e-02	3.82324186e-03	-7.55970428e-04	-1.71114092e-02	-9.31167503e-03	-7.79973418e-03
25              	3.52178637e-01	1.82385232e-01	1.69793405e-01	-1.76277807e-01	-3.03245412e-02	-1.45953266e-01	5.78143625e-02	6.29591377e-03	-1.05022449e-03	-1.63769018e-02	-9.23867541e-03	-7.13822644e-03
26              	2.95504638e-01	1.56129270e-01	1.39375368e-01	-1.25324809e-01	-1.35058702e-02	-1.11818939e-01	4.91565343e-02	8.37695092e-03	-1.16432666e-03	-1.55194355e-02	-8.92404440e-03	-6.59539109e-03
27              	3.06838418e-01	1.64078320e-01	1.42760098e-01	-1.65816265e-03	4.12934697e-02	-4.29516323e-02	4.21225510e-02	1.06591113e-02	-8.79958520e-04	-1.54347675e-02	-8.59734229e-03	-6.83742525e-03
28              	4.92041562e-01	2.62730035e-01	2.29311527e-01	7.84323161e-01	-2.79587178e-01	1.06391034e+00	-6.71748758e-01	1.67092536e-02	1.46841688e-02	4.65034963e-03	1.70093437e-02	-1.23589940e-02
29              	1.25374071e+00	6.44471854e-01	6.09268858e-01	7.70155463e-01	-3.21831896e-01	1.09198736e+00	-7.06909627e-01	1.76014979e-02	4.17683450e-02	3.84668054e-02	6.10017477e-02	-2.25349422e-02
30              	3.44203280e+00	1.73329258e+00	1.70874022e+00	2.77788417e-02	-5.30943285e-02	8.08731701e-02	-6.69837493e-02	1.22761818e-02	4.30166597e-02	4.52457821e-02	6.56395507e-02	-2.03937686e-02
31              	6.99052910e+00	3.49784668e+00	3.49268242e+00	-1.17665482e+00	4.25576005e-01	-1.60223082e+00	1.01390341e+00	2.58213115e-03	2.35116450e-02	3.51487335e-02	4.10860117e-02	-5.93727825e-03
32              	9.53515865e+00	4.76690572e+00	4.76825293e+00	-1.25021060e+00	4.75773162e-01	-1.72598377e+00	1.10087846e+00	-6.73608766e-04	-1.33393812e-02	4.98165258e-03	-1.08485550e-02	1.58302075e-02
33              	4.83383797e+00	2.50365856e+00	2.33017942e+00	3.00695837e+01	-1.21102618e+01	4.21798454e+01	-2.71450536e+01	8.67395699e-02	-6.76896919e-02	-5.01778041e-02	-9.27785940e-02	4.26007898e-02
34              	-1.69104159e+01	-8.02295314e+00	-8.88746280e+00	1.01535861e+02	-3.97659581e+01	1.41301819e+02	-9.05338885e+01	4.32254829e-01	-4.80936979e-01	-5.76873472e-01	-7.69373715e-01	1.92500243e-01
35              	-4.48433167e+01	-2.14433317e+01	-2.33999850e+01	1.78654130e+02	-6.67531116e+01	2.45407242e+02	-1.56080177e+02	9.78326641e-01	-1.02362323e+00	-1.25091427e+00	-1.64908037e+00	3.98166100e-01
36              	-6.66299756e+01	-3.20850199e+01	-3.45449557e+01	2.22877581e+02	-8.04084440e+01	3.03286025e+02	-1.91847235e+02	1.22996790e+00	-1.18867594e+00	-1.49521495e+00	-1.93628341e+00	4.41068463e-01
37              	-8.37080151e+01	-4.05651254e+01	-4.31428897e+01	2.26428906e+02	-7.90999553e+01	3.05528861e+02	-1.92314408e+02	1.28888213e+00	-1.18591528e+00	-1.53894666e+00	-1.95538861e+00	4.16441954e-01
38              	-9.69967238e+01	-4.73573845e+01	-4.96393392e+01	1.95177783e+02	-6.58151701e+01	2.60992954e+02	-1.63404062e+02	1.14097736e+00	-1.11575186e+00	-1.49525265e+00	-1.86337819e+00	3.68125534e-01
