# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                8.27092863e+01 -2.01666919e+01 -6.55365653e-14 8.25531049e+01 -2.01623388e+01 -6.61280756e-14 1.56181423e-01 -4.35311171e-03 5.91510240e-16
2                3.48842317e+02 -7.03047616e+01 -4.22779528e-13 3.48451435e+02 -7.02993408e+01 -4.23317825e-13 3.90882366e-01 -5.42081969e-03 5.38297665e-16
3                4.30079545e+02 -8.07049625e+01 -5.42762573e-13 4.29382974e+02 -8.06968354e+01 -5.43090474e-13 6.96571126e-01 -8.12709691e-03 3.27901490e-16
4                3.46364857e+02 -6.51086921e+01 -5.20292054e-13 3.45315347e+02 -6.51011376e+01 -5.22364325e-13 1.04950973e+00 -7.55454286e-03 2.07227097e-15
5                1.77898671e+02 3.90839804e+01 -3.59437829e-13 1.76785139e+02 3.90758173e+01 -3.59907358e-13 1.11353163e+00 8.16306650e-03 4.69529303e-16
6                1.07412726e+01 1.16951348e+02 -1.49923454e-13 9.79541945e+00 1.16931432e+02 -1.47244781e-13 9.45853102e-01 1.99163395e-02 -2.67867313e-15
7                -1.05992492e+02 1.47786310e+02 3.69373680e-14 -1.06569844e+02 1.47738278e+02 3.64504657e-14 5.77352317e-01 4.80316070e-02 4.86902234e-16
8                -1.54460178e+02 1.62772074e+02 1.45431164e-13 -1.54731940e+02 1.62687416e+02 1.52638465e-13 2.71762325e-01 8.46585173e-02 -7.20730077e-15
9                -1.41550295e+02 1.59456005e+02 1.80442588e-13 -1.41483184e+02 1.59353976e+02 1.84518218e-13 -6.71116637e-02 1.02028531e-01 -4.07562988e-15
10               -8.95747157e+01 1.43748781e+02 1.77136213e-13 -8.93898538e+01 1.43652156e+02 1.77202955e-13 -1.84861868e-01 9.66254347e-02 -6.67426168e-17
11               -2.19204710e+01 1.09444044e+02 1.29296384e-13 -2.18578986e+01 1.09387472e+02 1.29590319e-13 -6.25723539e-02 5.65719809e-02 -2.93934955e-16
12               3.69750313e+01 8.14802693e+01 5.15905787e-14 3.67696710e+01 8.14726184e+01 5.21369992e-14 2.05360356e-01 7.65088607e-03 -5.46420487e-16
13               7.29931890e+01 6.55355773e+01 -1.41937094e-14 7.25542311e+01 6.55497019e+01 -1.46543458e-14 4.38957886e-01 -1.41246666e-02 4.60636442e-16
14               8.22597447e+01 5.15828070e+01 -5.19023412e-14 8.16692770e+01 5.16015623e+01 -5.25694604e-14 5.90467698e-01 -1.87553621e-02 6.67119251e-16
15               7.02926413e+01 3.86594935e+01 -6.65196623e-14 6.96306359e+01 3.86753367e+01 -6.66007129e-14 6.62005413e-01 -1.58432286e-02 8.10505828e-17
16               4.68040194e+01 2.93807894e+01 -6.42617994e-14 4.61820401e+01 2.93898937e+01 -6.71455070e-14 6.21979239e-01 -9.10436947e-03 2.88370758e-15
17               2.11631323e+01 2.59401745e+01 -5.37058273e-14 2.06439222e+01 2.59465016e+01 -5.52395549e-14 5.19210172e-01 -6.32706394e-03 1.53372757e-15
