# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                -7.41467585e+01 4.31756464e-02 2.89278825e-02 -7.33426962e+01 4.49928209e-02 1.14377862e-02 -8.04062269e-01 -1.81717450e-03 1.74900963e-02
2                -6.97815247e+03 -1.01944342e+01 -7.93544148e+00 -6.97767949e+03 -1.01941995e+01 -7.93623301e+00 -4.72977695e-01 -2.34652405e-04 7.91524271e-04
3                -6.97844963e+03 -1.74568182e+01 -2.92595448e+00 -6.97872710e+03 -1.74610140e+01 -2.92826183e+00 2.77462741e-01 4.19585539e-03 2.30734828e-03
4                -5.46865874e+03 -1.87396529e+01 5.31207187e-01 -5.46929765e+03 -1.87389445e+01 5.32403079e-01 6.38912406e-01 -7.08351324e-04 -1.19589179e-03
5                -2.59633374e+03 -2.65801873e+01 5.44871031e+00 -2.59678263e+03 -2.65830427e+01 5.44950292e+00 4.48891310e-01 2.85535683e-03 -7.92609078e-04
6                1.12223646e+03 -1.47433186e+01 2.18908622e+01 1.12192866e+03 -1.47442955e+01 2.18938936e+01 3.07793849e-01 9.76812089e-04 -3.03138064e-03
7                3.40745824e+03 -1.18631702e+00 2.48295174e+01 3.40743179e+03 -1.19301138e+00 2.48319656e+01 2.64468642e-02 6.69436178e-03 -2.44825174e-03
8                3.95333382e+03 9.17589019e-01 2.72229527e+01 3.95326452e+03 9.28874094e-01 2.72279573e+01 6.93063663e-02 -1.12850758e-02 -5.00461427e-03
9                3.45239263e+03 2.30957247e+00 2.64181378e+01 3.45238182e+03 2.29805617e+00 2.64167105e+01 1.08098586e-02 1.15162948e-02 1.42731216e-03
10               2.42585956e+03 2.24087991e+01 2.33187589e+01 2.42580608e+03 2.23672008e+01 2.33223779e+01 5.34782361e-02 4.15983613e-02 -3.61893846e-03
11               7.69097214e+02 3.58739845e+01 3.42188814e+01 7.68981304e+02 3.58496003e+01 3.42205013e+01 1.15909769e-01 2.43841983e-02 -1.61990783e-03
12               -4.98214030e+02 5.14627253e+01 3.58152851e+01 -4.98233408e+02 5.13995041e+01 3.58204986e+01 1.93787515e-02 6.32211833e-02 -5.21350482e-03
