# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                5.04167297e-01 2.06773216e+00 4.59218019e+01 5.04058470e-01 2.06382762e+00 4.59949594e+01 1.08827793e-04 3.90453558e-03 -7.31574692e-02
2                1.75761904e+00 8.72105793e+00 -2.05609703e+00 1.75748352e+00 8.71128587e+00 -1.87039461e+00 1.35520492e-04 9.77205916e-03 -1.85702418e-01
3                2.01762406e+00 1.07519886e+01 -1.99370205e+01 2.01742089e+00 1.07345743e+01 -1.96096982e+01 2.03177423e-04 1.74142781e-02 -3.27322348e-01
4                1.62771730e+00 8.65912143e+00 -1.81782200e+02 1.62752844e+00 8.63288368e+00 -1.81328375e+02 1.88863572e-04 2.62377433e-02 -4.53825189e-01
5                -9.77099510e-01 4.44746676e+00 -1.03866628e+02 -9.76895433e-01 4.41962847e+00 -1.03581838e+02 -2.04076663e-04 2.78382909e-02 -2.84790235e-01
6                -2.92378371e+00 2.68531814e-01 -9.37513345e+01 -2.92328580e+00 2.44885486e-01 -9.35720077e+01 -4.97908488e-04 2.36463276e-02 -1.79326775e-01
7                -3.69465774e+00 -2.64981229e+00 -2.46570794e+02 -3.69345695e+00 -2.66424610e+00 -2.46867605e+02 -1.20079017e-03 1.44338079e-02 2.96811113e-01
8                -4.06930186e+00 -3.86150444e+00 -3.47306471e+02 -4.06718540e+00 -3.86829850e+00 -3.48118468e+02 -2.11646293e-03 6.79405812e-03 8.11997546e-01
9                -3.98640012e+00 -3.53875738e+00 -3.73208388e+02 -3.98384941e+00 -3.53707959e+00 -3.74380193e+02 -2.55071328e-03 -1.67779159e-03 1.17180527e+00
10               -3.59371953e+00 -2.23936789e+00 -3.11741939e+02 -3.59130390e+00 -2.23474635e+00 -3.12909831e+02 -2.41563587e-03 -4.62154669e-03 1.16789170e+00
11               -2.73610109e+00 -5.48011775e-01 -2.75169649e+02 -2.73468679e+00 -5.46447466e-01 -2.75901082e+02 -1.41429952e-03 -1.56430885e-03 7.31432786e-01
12               -2.03700673e+00 9.24375783e-01 -2.44154192e+02 -2.03681546e+00 9.19241775e-01 -2.44247850e+02 -1.91272152e-04 5.13400890e-03 9.36574050e-02
13               -1.63838943e+00 1.82482972e+00 -2.00532817e+02 -1.63874255e+00 1.81385578e+00 -2.00256846e+02 3.53116665e-04 1.09739471e-02 -2.75971115e-01
14               -1.28957017e+00 2.05649362e+00 -1.81938696e+02 -1.29003906e+00 2.04173193e+00 -1.81576058e+02 4.68884053e-04 1.47616924e-02 -3.62638431e-01
15               -9.66487338e-01 1.75731603e+00 -2.11619298e+02 -9.66883419e-01 1.74076590e+00 -2.11329746e+02 3.96080716e-04 1.65501353e-02 -2.89551620e-01
16               -7.34519734e-01 1.17010048e+00 -2.81073088e+02 -7.34747343e-01 1.15455100e+00 -2.80965385e+02 2.27609237e-04 1.55494810e-02 -1.07703229e-01
17               -6.48504362e-01 5.29078308e-01 -3.34085137e+02 -6.48662539e-01 5.16098054e-01 -3.34093989e+02 1.58176598e-04 1.29802543e-02 8.85207460e-03
18               -6.35287601e-01 1.97263819e-02 -3.68359766e+02 -6.35337665e-01 1.16670927e-02 -3.68548404e+02 5.00639882e-05 8.05928915e-03 1.88638488e-01
19               -6.47338359e-01 -2.11408747e-01 -3.86745940e+02 -6.47187800e-01 -2.17126595e-01 -3.87078751e+02 -1.50558842e-04 5.71784731e-03 3.32810945e-01
