# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                3.65558614e-03 6.11733166e-02 -1.38469709e-01 3.51626935e-03 6.16213771e-02 -1.38314377e-01 1.39316790e-04 -4.48060552e-04 -1.55331983e-04
2                1.99459298e+00 4.37902762e+00 -4.51073404e-01 1.99455410e+00 4.37885517e+00 -4.50989247e-01 3.88754887e-05 1.72450617e-04 -8.41568640e-05
3                2.00014521e+00 3.65692239e+00 -1.04783289e+00 2.00020983e+00 3.65688486e+00 -1.04775878e+00 -6.46218559e-05 3.75315380e-05 -7.41076684e-05
4                1.64310787e+00 2.52345021e+00 -7.63576669e-01 1.64314570e+00 2.52372259e+00 -7.64147950e-01 -3.78251859e-05 -2.72382123e-04 5.71280935e-04
5                1.54673749e+00 1.95323140e-01 -6.41231737e-02 1.54719703e+00 1.96013802e-01 -6.50026267e-02 -4.59544583e-04 -6.90661524e-04 8.79452963e-04
6                -1.30153484e+00 -1.10213787e+00 1.47143654e+00 -1.30088494e+00 -1.10171942e+00 1.47017292e+00 -6.49898459e-04 -4.18445374e-04 1.26361956e-03
7                -4.92608657e+00 -4.00448592e-01 3.38038069e+00 -4.92533047e+00 -4.00130470e-01 3.37945944e+00 -7.56094274e-04 -3.18122072e-04 9.21253933e-04
8                -7.25272169e+00 -8.33480680e-01 5.22810974e+00 -7.25220849e+00 -8.33336219e-01 5.23496956e+00 -5.13200486e-04 -1.44460288e-04 -6.85981966e-03
9                -6.88927999e+00 -1.15776984e+00 1.07722583e+00 -6.88939977e+00 -1.15592848e+00 1.07349645e+00 1.19781829e-04 -1.84135760e-03 3.72937830e-03
10               -4.93697314e+00 -2.33354643e+00 3.93020998e+00 -4.93664138e+00 -2.33373335e+00 3.91115236e+00 -3.31760680e-04 1.86923067e-04 1.90576259e-02
11               -3.01258308e+00 -6.62414784e+00 7.71868184e+00 -3.01242015e+00 -6.62157809e+00 7.67502627e+00 -1.62930483e-04 -2.56975357e-03 4.36555621e-02
12               -2.12154095e+00 -8.98630277e+00 1.27282021e+01 -2.12238705e+00 -8.98542140e+00 1.26385994e+01 8.46099191e-04 -8.81368051e-04 8.96027785e-02
13               -4.62417585e-01 -8.09324287e+00 2.05349491e+01 -4.63614852e-01 -8.09650971e+00 2.04624002e+01 1.19726717e-03 3.26683392e-03 7.25489295e-02
14               -3.22641283e-01 -5.57292822e+00 2.92085636e+01 -3.23770916e-01 -5.57322739e+00 2.91453759e+01 1.12963231e-03 2.99170135e-04 6.31876980e-02
15               -1.47240206e+00 -2.54373592e+00 3.22646226e+01 -1.47438757e+00 -2.54838826e+00 3.22215944e+01 1.98550278e-03 4.65233985e-03 4.30281181e-02
16               -3.62943295e+00 1.56061798e-02 3.18253574e+01 -3.63142349e+00 1.02107334e-02 3.17979658e+01 1.99054720e-03 5.39544638e-03 2.73916091e-02
17               -5.56302639e+00 9.14134227e-01 2.66351765e+01 -5.56500700e+00 9.09397446e-01 2.66398523e+01 1.98061016e-03 4.73678109e-03 -4.67572582e-03
18               -6.30015264e+00 8.89078324e-01 1.75151956e+01 -6.30203715e+00 8.73851800e-01 1.75591847e+01 1.88451594e-03 1.52265235e-02 -4.39891645e-02
19               -5.76179645e+00 6.13958448e-01 5.56243915e+00 -5.76338617e+00 5.96632596e-01 5.63139766e+00 1.58972642e-03 1.73258514e-02 -6.89585062e-02
20               -4.29212427e+00 3.51070509e-01 -6.00677582e+00 -4.29402229e+00 3.29532868e-01 -5.95277955e+00 1.89802662e-03 2.15376413e-02 -5.39962621e-02
21               -2.55797458e+00 2.64032992e-01 -1.88636059e+01 -2.56022351e+00 2.55485850e-01 -1.88266137e+01 2.24892587e-03 8.54714211e-03 -3.69921707e-02
22               -7.74380376e-01 1.55537127e-01 -2.84634077e+01 -7.73960745e-01 1.64091280e-01 -2.84388318e+01 -4.19630386e-04 -8.55415298e-03 -2.45758377e-02
23               6.80757395e-01 -1.04550858e-02 -3.36713466e+01 6.82230816e-01 -3.59102609e-02 -3.36875501e+01 -1.47342173e-03 2.54551751e-02 1.62035583e-02
