# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	2.01330966e-02	1.00664034e-02	1.00666932e-02	-3.57591639e-04	-1.11748931e-05	-3.46416745e-04	1.67620926e-04	-1.44925276e-07	1.03316216e-07	-1.79660289e-09	1.02417915e-07	-1.04214517e-07
2               	2.59943730e-02	1.29950745e-02	1.29992985e-02	-8.79119997e-04	-6.60669048e-05	-8.13053093e-04	3.73493094e-04	-2.11197771e-06	1.45439976e-07	-1.69835251e-09	1.44590799e-07	-1.46289152e-07
3               	2.64061876e-02	1.31991753e-02	1.32070124e-02	-8.76241885e-04	3.70844940e-05	-9.13326379e-04	4.75205436e-04	-3.91855667e-06	5.11059755e-07	-2.52020031e-09	5.09799655e-07	-5.12319856e-07
4               	2.39936350e-02	1.19913632e-02	1.20022718e-02	-6.34996774e-04	2.10935807e-04	-8.45932581e-04	5.28434194e-04	-5.45433679e-06	1.19816475e-06	5.74289033e-10	1.19845190e-06	-1.19787761e-06
5               	2.02027553e-02	1.00949370e-02	1.01078182e-02	-4.40624742e-04	3.71625090e-04	-8.12249832e-04	5.91937461e-04	-6.44058846e-06	1.82659429e-06	6.96953081e-09	1.83007906e-06	-1.82310953e-06
6               	1.60274088e-02	8.00779840e-03	8.01961044e-03	-5.32807381e-04	4.51721853e-04	-9.84529234e-04	7.18125543e-04	-5.90601963e-06	2.15084555e-06	1.13779704e-08	2.15653453e-06	-2.14515656e-06
7               	1.21184775e-02	6.05604249e-03	6.06243502e-03	-9.69694680e-04	4.33081401e-04	-1.40277608e-03	9.17928741e-04	-3.19626251e-06	2.09205936e-06	1.17143123e-08	2.09791651e-06	-2.08620220e-06
8               	8.81939703e-03	4.41060805e-03	4.40878899e-03	-1.60246357e-03	3.49873238e-04	-1.95233681e-03	1.15110502e-03	9.09531226e-07	1.72779747e-06	1.19469727e-08	1.73377096e-06	-1.72182398e-06
9               	6.24231588e-03	3.12618894e-03	3.11612694e-03	-2.23473662e-03	2.37060585e-04	-2.47179720e-03	1.35442889e-03	5.03099907e-06	1.17036033e-06	9.66265787e-09	1.17519166e-06	-1.16552900e-06
10              	4.36176343e-03	2.18896390e-03	2.17279953e-03	-2.81798024e-03	1.07742052e-04	-2.92572229e-03	1.51673217e-03	8.08218788e-06	4.99321701e-07	5.08956523e-09	5.01866484e-07	-4.96776919e-07
