# Force         
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                3.08288042e+01 -5.47562197e-01 2.75104818e-06 3.05638126e+01 -5.47543217e-01 2.62425636e-06 2.64991610e-01 -1.89797887e-05 1.26791820e-07
2                3.98038837e+01 -1.34615250e+00 2.60060228e-06 3.95440409e+01 -1.34614710e+00 3.08410817e-06 2.59842828e-01 -5.39734823e-06 -4.83505892e-07
3                4.04344748e+01 -1.34174539e+00 3.85905673e-06 4.01814105e+01 -1.34174145e+00 2.57233193e-06 2.53064307e-01 -3.93663816e-06 1.28672480e-06
4                3.67402536e+01 -9.72338810e-01 -8.79380081e-07 3.64937069e+01 -9.72327603e-01 1.60874395e-06 2.46546670e-01 -1.12070826e-05 -2.48812403e-06
5                3.09354690e+01 -6.74706635e-01 -1.06720941e-05 3.06939180e+01 -6.74695330e-01 3.23714931e-07 2.41550983e-01 -1.13058370e-05 -1.09958090e-05
6                2.45419698e+01 -8.15861303e-01 -1.74225171e-05 2.43034657e+01 -8.15869827e-01 -1.03599756e-06 2.38504085e-01 8.52425999e-06 -1.63865196e-05
7                1.85564187e+01 -1.48484498e+00 -1.79375408e-05 1.83192490e+01 -1.48488672e+00 -2.27236930e-06 2.37169686e-01 4.17404554e-05 -1.56651715e-05
8                1.35047017e+01 -2.45377235e+00 -1.82938019e-05 1.32680411e+01 -2.45384427e+00 -3.20624134e-06 2.36660600e-01 7.19248193e-05 -1.50875606e-05
9                9.55854619e+00 -3.42194045e+00 -1.47959449e-05 9.32198839e+00 -3.42203169e+00 -3.73816209e-06 2.36557800e-01 9.12423168e-05 -1.10577828e-05
10               6.67895026e+00 -4.31503224e+00 -7.79339676e-06 6.44238095e+00 -4.31512890e+00 -3.92595419e-06 2.36569306e-01 9.66564088e-05 -3.86744257e-06
11               4.72318325e+00 -5.13183920e+00 -3.34280268e-06 4.48664095e+00 -5.13192184e+00 -3.85829246e-06 2.36542298e-01 8.26429841e-05 5.15489787e-07
12               3.54751550e+00 -5.89807545e+00 -2.04253397e-06 3.31108461e+00 -5.89812832e+00 -3.61763863e-06 2.36430894e-01 5.28699494e-05 1.57510466e-06
13               3.06574991e+00 -6.59346639e+00 -1.22240811e-06 2.82946452e+00 -6.59348618e+00 -3.24421740e-06 2.36285384e-01 1.97916929e-05 2.02180929e-06
14               3.13835883e+00 -7.22886196e+00 -9.53318755e-07 2.90228842e+00 -7.22885124e+00 -2.79861562e-06 2.36070411e-01 -1.07143624e-05 1.84529686e-06
15               3.61730650e+00 -7.80873266e+00 -6.62105603e-07 3.38150589e+00 -7.80869817e+00 -2.33893680e-06 2.35800611e-01 -3.44974178e-05 1.67683120e-06
16               4.33808416e+00 -8.29672671e+00 -2.90523443e-07 4.10258006e+00 -8.29667609e+00 -1.91319995e-06 2.35504096e-01 -5.06256027e-05 1.62267650e-06
17               5.13322742e+00 -8.69462898e+00 2.03157263e-07 4.89801464e+00 -8.69456698e+00 -1.55507446e-06 2.35212782e-01 -6.19998030e-05 1.75823173e-06
18               5.87776651e+00 -9.04270237e+00 7.65725828e-07 5.64279387e+00 -9.04262958e+00 -1.28246828e-06 2.34972638e-01 -7.27880237e-05 2.04819411e-06
19               6.50063589e+00 -9.37006435e+00 1.24887862e-06 6.26579785e+00 -9.36997994e+00 -1.09863537e-06 2.34838044e-01 -8.44049703e-05 2.34751398e-06
20               6.97760882e+00 -9.69030130e+00 1.52524914e-06 6.74275634e+00 -9.69020333e+00 -9.94854139e-07 2.34852484e-01 -9.79676334e-05 2.52010328e-06
21               7.31411670e+00 -1.00021896e+01 1.63386288e-06 7.07906384e+00 -1.00020739e+01 -9.54683320e-07 2.35052866e-01 -1.15674704e-04 2.58854620e-06
22               7.53408348e+00 -1.03041681e+01 1.28031207e-06 7.29861732e+00 -1.03040309e+01 -9.58935672e-07 2.35466159e-01 -1.37161405e-04 2.23924774e-06
23               7.66524844e+00 -1.05899826e+01 9.62094591e-07 7.42914947e+00 -1.05898206e+01 -9.91085650e-07 2.36098968e-01 -1.61988641e-04 1.95318024e-06
24               7.72700258e+00 -1.08523758e+01 6.10781460e-07 7.49007226e+00 -1.08521865e+01 -1.03927168e-06 2.36930328e-01 -1.89249545e-04 1.65005314e-06
25               7.73368304e+00 -1.10918900e+01 3.04329449e-07 7.49576649e+00 -1.10916720e+01 -1.09426084e-06 2.37916553e-01 -2.17917577e-04 1.39859029e-06
26               7.70372832e+00 -1.13147090e+01 6.12279532e-08 7.46472591e+00 -1.13144618e+01 -1.14795949e-06 2.39002406e-01 -2.47214326e-04 1.20918745e-06
27               7.65655770e+00 -1.15183876e+01 -1.31997567e-07 7.41642725e+00 -1.15181111e+01 -1.19468446e-06 2.40130457e-01 -2.76491103e-04 1.06268690e-06
28               7.60455910e+00 -1.16979243e+01 -3.30187713e-07 7.36331171e+00 -1.16976192e+01 -1.23543372e-06 2.41247390e-01 -3.05088418e-04 9.05246005e-07
29               7.55182767e+00 -1.18561332e+01 -5.07134666e-07 7.30951960e+00 -1.18558009e+01 -1.27582338e-06 2.42308066e-01 -3.32364873e-04 7.68688715e-07
30               7.49891506e+00 -1.19988407e+01 -6.40839844e-07 7.25563707e+00 -1.19984831e+01 -1.32228364e-06 2.43277990e-01 -3.57619579e-04 6.81443800e-07
31               7.44547246e+00 -1.21315095e+01 -7.86744238e-07 7.20133839e+00 -1.21311290e+01 -1.38036683e-06 2.44134073e-01 -3.80450966e-04 5.93622589e-07
32               7.39141787e+00 -1.22579838e+01 -9.81607129e-07 7.14655368e+00 -1.22575829e+01 -1.45335414e-06 2.44864195e-01 -4.00855002e-04 4.71747011e-07
33               7.33791263e+00 -1.23801367e+01 -1.13075097e-06 7.09244649e+00 -1.23797178e+01 -1.54168372e-06 2.45466140e-01 -4.18910657e-04 4.10932757e-07
34               7.28931349e+00 -1.24913451e+01 -1.27025765e-06 7.04336706e+00 -1.24909103e+01 -1.64219359e-06 2.45946433e-01 -4.34789461e-04 3.71935948e-07
35               7.25059579e+00 -1.25814900e+01 -1.40494883e-06 7.00427807e+00 -1.25810413e+01 -1.74920669e-06 2.46317721e-01 -4.48662024e-04 3.44257857e-07
36               7.22364855e+00 -1.26482712e+01 -1.53463627e-06 6.97705277e+00 -1.26478106e+01 -1.85645744e-06 2.46595788e-01 -4.60606773e-04 3.21821165e-07
37               7.20760342e+00 -1.26966530e+01 -1.70761904e-06 6.96080600e+00 -1.26961824e+01 -1.95790723e-06 2.46797417e-01 -4.70575191e-04 2.50288192e-07
38               7.20034735e+00 -1.27340062e+01 -1.86260707e-06 6.95340851e+00 -1.27335276e+01 -2.04820103e-06 2.46938844e-01 -4.78586788e-04 1.85593960e-07
39               7.20011176e+00 -1.27658286e+01 -1.96691990e-06 6.95307691e+00 -1.27653440e+01 -2.12329103e-06 2.47034857e-01 -4.84668194e-04 1.56371129e-07
40               7.20569628e+00 -1.27955293e+01 -2.03823068e-06 6.95859805e+00 -1.27950405e+01 -2.18074833e-06 2.47098234e-01 -4.88798277e-04 1.42517643e-07
41               7.21639899e+00 -1.28253552e+01 -2.08683953e-06 6.96925947e+00 -1.28248640e+01 -2.21992093e-06 2.47139512e-01 -4.91150089e-04 1.33081394e-07
42               7.23135567e+00 -1.28555544e+01 -2.11544795e-06 6.98418874e+00 -1.28550624e+01 -2.24160817e-06 2.47166930e-01 -4.92009695e-04 1.26160221e-07
43               7.24765816e+00 -1.28849136e+01 -2.12190555e-06 7.00047191e+00 -1.28844219e+01 -2.24754716e-06 2.47186252e-01 -4.91668663e-04 1.25641610e-07
44               7.26214111e+00 -1.29145217e+01 -2.11808245e-06 7.01493998e+00 -1.29140312e+01 -2.24042909e-06 2.47201125e-01 -4.90535798e-04 1.22346635e-07
45               7.27326990e+00 -1.29463528e+01 -2.10571052e-06 7.02605612e+00 -1.29458638e+01 -2.22353783e-06 2.47213779e-01 -4.88969135e-04 1.17827304e-07
46               7.28044862e+00 -1.29799612e+01 -2.08170566e-06 7.03322616e+00 -1.29794741e+01 -2.20153530e-06 2.47222455e-01 -4.87112989e-04 1.19829641e-07
47               7.28472256e+00 -1.30172380e+01 -2.04865010e-06 7.03749094e+00 -1.30167528e+01 -2.17660459e-06 2.47231624e-01 -4.85209028e-04 1.27954488e-07
48               7.28683270e+00 -1.30595069e+01 -2.01726660e-06 7.03959149e+00 -1.30590236e+01 -2.15042137e-06 2.47241211e-01 -4.83346806e-04 1.33154770e-07
49               7.28727178e+00 -1.31072949e+01 -1.97737801e-06 7.04002087e+00 -1.31068132e+01 -2.12422341e-06 2.47250907e-01 -4.81642323e-04 1.46845397e-07
50               7.28640968e+00 -1.31602886e+01 -1.93657492e-06 7.03914923e+00 -1.31598084e+01 -2.09881290e-06 2.47260455e-01 -4.80173457e-04 1.62237979e-07
51               7.28458075e+00 -1.32169314e+01 -1.89550755e-06 7.03731111e+00 -1.32164524e+01 -2.07463910e-06 2.47269642e-01 -4.78978213e-04 1.79131550e-07
52               7.28216295e+00 -1.32742930e+01 -1.85522925e-06 7.03488467e+00 -1.32738149e+01 -2.05195143e-06 2.47278282e-01 -4.78064336e-04 1.96722179e-07
53               7.27956675e+00 -1.33293041e+01 -1.81813444e-06 7.03228055e+00 -1.33288267e+01 -2.03088600e-06 2.47286204e-01 -4.77416630e-04 2.12751551e-07
54               7.27710752e+00 -1.33825904e+01 -1.78276628e-06 7.02981308e+00 -1.33821133e+01 -2.01092584e-06 2.47294446e-01 -4.77049154e-04 2.28159563e-07
55               7.27501960e+00 -1.34335925e+01 -1.75734612e-06 7.02771874e+00 -1.34331157e+01 -1.99251936e-06 2.47300865e-01 -4.76815830e-04 2.35173241e-07
56               7.27336949e+00 -1.34829078e+01 -1.73747625e-06 7.02606407e+00 -1.34824311e+01 -1.97576834e-06 2.47305419e-01 -4.76705182e-04 2.38292095e-07
57               7.27214052e+00 -1.35318176e+01 -1.71863319e-06 7.02483229e+00 -1.35313409e+01 -1.96054379e-06 2.47308231e-01 -4.76693334e-04 2.41910597e-07
58               7.27130637e+00 -1.35815733e+01 -1.70038494e-06 7.02399686e+00 -1.35810965e+01 -1.94662414e-06 2.47309508e-01 -4.76779467e-04 2.46239201e-07
59               7.27086219e+00 -1.36315991e+01 -1.68354663e-06 7.02355270e+00 -1.36311222e+01 -1.93378999e-06 2.47309486e-01 -4.76979515e-04 2.50243360e-07
60               7.27076549e+00 -1.36793956e+01 -1.66759401e-06 7.02345708e+00 -1.36789183e+01 -1.92188377e-06 2.47308417e-01 -4.77305000e-04 2.54289765e-07
61               7.27090180e+00 -1.37231160e+01 -1.65319913e-06 7.02359525e+00 -1.37226383e+01 -1.91079513e-06 2.47306555e-01 -4.77758392e-04 2.57595999e-07
62               7.27115097e+00 -1.37637176e+01 -1.64024400e-06 7.02384684e+00 -1.37632393e+01 -1.90042276e-06 2.47304126e-01 -4.78336973e-04 2.60178757e-07
63               7.27143915e+00 -1.38034991e+01 -1.62879600e-06 7.02413784e+00 -1.38030201e+01 -1.89066003e-06 2.47301312e-01 -4.79033728e-04 2.61864025e-07
64               7.27173441e+00 -1.38445805e+01 -1.61817019e-06 7.02443616e+00 -1.38441006e+01 -1.88140743e-06 2.47298249e-01 -4.79846081e-04 2.63237235e-07
65               7.27202394e+00 -1.38885443e+01 -1.60835244e-06 7.02472890e+00 -1.38880635e+01 -1.87258835e-06 2.47295038e-01 -4.80781718e-04 2.64235919e-07
66               7.27229752e+00 -1.39359760e+01 -1.60069683e-06 7.02500576e+00 -1.39354941e+01 -1.86415206e-06 2.47291759e-01 -4.81853852e-04 2.63455232e-07
