# Moment        
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                -2.21916829e-04 1.58202956e-04 -2.56669543e-01 -2.21909516e-04 1.58411803e-04 -2.56655274e-01 -7.31298960e-09 -2.08847681e-07 -1.42694211e-05
2                -3.23396587e-03 2.22704963e-04 -5.71911300e-01 -3.22082011e-03 2.21805141e-04 -5.71898650e-01 -1.31457640e-05 8.99822211e-07 -1.26498634e-05
3                -6.00028991e-03 7.82560250e-04 -7.27658325e-01 -5.97789456e-03 7.80612076e-04 -7.27648913e-01 -2.23953474e-05 1.94817411e-06 -9.41196554e-06
4                -8.35195321e-03 1.83468978e-03 -8.09164859e-01 -8.32702994e-03 1.83324368e-03 -8.09156614e-01 -2.49232701e-05 1.44609864e-06 -8.24472549e-06
5                -9.86215108e-03 2.79697251e-03 -9.06404238e-01 -9.84334633e-03 2.79689171e-03 -9.06397570e-01 -1.88047423e-05 8.08009496e-08 -6.66758903e-06
6                -9.04359256e-03 3.29348224e-03 -1.09962974e+00 -9.03641303e-03 3.29394939e-03 -1.09962893e+00 -7.17952836e-06 -4.67149459e-07 -8.12640031e-07
7                -4.89427696e-03 3.20346589e-03 -1.40557838e+00 -4.89843838e-03 3.20385345e-03 -1.40558696e+00 4.16141357e-06 -3.87552206e-07 8.57245171e-06
8                1.39271969e-03 2.64568988e-03 -1.76262957e+00 1.38132771e-03 2.64517085e-03 -1.76264951e+00 1.13919750e-05 5.19024091e-07 1.99408384e-05
9                7.70371733e-03 1.79211426e-03 -2.07396924e+00 7.68879896e-03 1.78973247e-03 -2.07400050e+00 1.49183694e-05 2.38179107e-06 3.12538447e-05
10               1.23758502e-02 7.64586355e-04 -2.32249614e+00 1.23597529e-02 7.60585383e-04 -2.32253707e+00 1.60973351e-05 4.00097141e-06 4.09353307e-05
11               1.45773576e-02 -2.66859222e-04 -2.52934005e+00 1.45631035e-02 -2.71941433e-04 -2.52939004e+00 1.42541393e-05 5.08221128e-06 4.99879917e-05
12               1.40849066e-02 -1.13795087e-03 -2.71891052e+00 1.40739092e-02 -1.14364497e-03 -2.71896839e+00 1.09974325e-05 5.69410066e-06 5.78698158e-05
13               1.11363897e-02 -1.77312352e-03 -2.88880752e+00 1.11299056e-02 -1.77965420e-03 -2.88887260e+00 6.48408580e-06 6.53068484e-06 6.50778459e-05
14               6.52087678e-03 -2.13351919e-03 -3.03881197e+00 6.51890905e-03 -2.14068599e-03 -3.03888362e+00 1.96773041e-06 7.16679484e-06 7.16520910e-05
15               1.24387231e-03 -2.23234332e-03 -3.16613876e+00 1.24539202e-03 -2.23978124e-03 -3.16621686e+00 -1.51971095e-06 7.43791947e-06 7.80993720e-05
16               -3.63345849e-03 -2.11078071e-03 -3.25288447e+00 -3.62984555e-03 -2.11821618e-03 -3.25296899e+00 -3.61294335e-06 7.43547300e-06 8.45113843e-05
17               -7.23429230e-03 -1.83400104e-03 -3.29611129e+00 -7.22994837e-03 -1.84117916e-03 -3.29620214e+00 -4.34393250e-06 7.17811687e-06 9.08454634e-05
18               -9.09620867e-03 -1.47511079e-03 -3.31252625e+00 -9.09212962e-03 -1.48185770e-03 -3.31262361e+00 -4.07905815e-06 6.74690132e-06 9.73596780e-05
19               -9.20173728e-03 -1.09664461e-03 -3.31943068e+00 -9.19850253e-03 -1.10281452e-03 -3.31953468e+00 -3.23474285e-06 6.16990896e-06 1.03995700e-04
20               -7.86958721e-03 -7.42451417e-04 -3.32811752e+00 -7.86740076e-03 -7.47967623e-04 -3.32822816e+00 -2.18645084e-06 5.51620632e-06 1.10634820e-04
21               -5.59862522e-03 -4.39284271e-04 -3.34206661e+00 -5.59753111e-03 -4.44326198e-04 -3.34218377e+00 -1.09410542e-06 5.04192768e-06 1.17159633e-04
22               -2.91399584e-03 -1.98989685e-04 -3.36157602e+00 -2.91395356e-03 -2.03907754e-04 -3.36169963e+00 -4.22753373e-08 4.91806871e-06 1.23609895e-04
